%windir%\system32\cmdkey.exe "/list"
%windir%\system32\cmdkey.exe '/list'
%windir%\system32\cmdkey.exe /LIST
%windir%\system32\cmdkey.exe /li^st
%windir%\system32\cmdkey.exe /list
C:\Windows\SysNative\cmdkey.exe "/list"
C:\Windows\SysNative\cmdkey.exe '/list'
C:\Windows\SysNative\cmdkey.exe /LIST
C:\Windows\SysNative\cmdkey.exe /li^st
C:\Windows\SysNative\cmdkey.exe /list
cmdkey "/list"
cmdkey '/list'
cmdkey /LIST
cmdkey /li^st
cmdkey /list
cmdkey.exe "/list"
cmdkey.exe '/list'
cmdkey.exe /LIST
cmdkey.exe /li^st
cmdkey.exe /list
